model,scenario,region,variable,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NOx|dep,Mt NO/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|OC|dep,Mt OC/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|SO2|dep,Mt SO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|BC|Power generation,Mt BC/yr,0.10490777,0.0916633,0.095034316,0.09823937,0.090857744,0.08368218,0.08335303,0.090789214,0.08019917,0.08222698,0.08804662,0.09485714,0.102984734,0.10773441,0.11522359,0.11167132,0.11243651,0.114374444,0.11980277,0.11987762,0.116333775,0.12077605,0.12155438,0.12252981,0.12402904,0.12502614
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CH4|Power generation,Mt CH4/yr,0.20950577,0.21861774,0.2287173,0.23892726,0.25456294,0.26711002,0.2730342,0.28721622,0.29865375,0.30486983,0.34257764,0.35306886,0.37597734,0.3842577,0.39739633,0.4091271,0.44256124,0.45207456,0.46039933,0.46426222,0.45309138,0.47254905,0.4769784,0.4816029,0.48764336,0.49145362
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO|Power generation,Mt CO/yr,4.9508166,5.0702896,5.088361,5.2453146,5.4957504,5.508272,5.6211557,5.866144,5.9945145,6.1061378,6.663845,6.942851,7.289298,7.4656677,7.6685205,7.788724,8.101473,8.251248,8.228909,7.795478,7.337588,7.396566,7.2155895,7.0456753,6.9032764,6.735911
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2|Power generation,Mt CO2/yr,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2_excl_short-cycle_org_C|Power generation,Mt CO2/yr,9361.866,9578.862,9709.926,10268.394,10640.882,10985.521,11424.395,11918.727,11924.496,11732.77,12512.612,13112.568,13394.023,13624.237,13687.438,13374.567,13438.744,13746.222,14199.18,14085.764,13494.386,14267.783,14232.749,14203.548,14216.166,14162.131
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO2_short-cycle_org_C|Power generation,Mt CO2/yr,173.40494,182.58508,208.65652,220.26108,239.3998,260.397,263.47644,284.55325,304.13855,324.72864,376.6115,385.34097,433.47913,469.83398,503.68814,527.81006,600.15295,649.7663,693.8497,739.2792,732.46094,732.9562,726.34863,720.2492,716.5384,709.5207
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|N2O|Power generation,Mt N2O/yr,0.15041338,0.15878874,0.16581938,0.17836806,0.19029357,0.19527206,0.20694168,0.22601046,0.23049065,0.22810256,0.2423177,0.25542247,0.25950867,0.26748273,0.27259994,0.26358765,0.2677852,0.27969903,0.2920005,0.28737208,0.26825717,0.29241577,0.29595435,0.299699,0.3044828,0.30781302
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NH3|Power generation,Mt NH3/yr,0.08072189,0.08090443,0.07832402,0.07914697,0.08096279,0.08309646,0.07903223,0.08232781,0.08378274,0.08667602,0.09501134,0.10004399,0.10885082,0.11261813,0.11707175,0.1198557,0.13286707,0.13355665,0.13337386,0.13378897,0.12950943,0.13472985,0.1352571,0.13582328,0.13680312,0.13707623
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NMVOC|Power generation,Mt NMVOC/yr,0.5400021,0.5485551,0.55354047,0.5760675,0.6029702,0.61061335,0.61888885,0.6483853,0.66267693,0.67401505,0.7333657,0.76723224,0.80186164,0.82263124,0.83940446,0.84930456,0.8843149,0.9011522,0.91625303,0.9036402,0.862066,0.88024926,0.86942,0.85913664,0.8515622,0.8401246
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|NOx|Power generation,Mt NO/yr,17.370295,17.406994,17.352966,17.910923,18.399305,18.087591,18.405544,18.95198,18.471912,18.01442,18.493496,18.930847,19.212494,19.413723,19.560017,19.113104,19.064884,19.112505,19.557781,19.145939,18.059242,18.410326,18.083675,17.78284,17.551346,17.254679
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|OC|Power generation,Mt OC/yr,0.12010862,0.104724824,0.10083506,0.10387803,0.09145202,0.07237593,0.07352054,0.07694142,0.08024273,0.08176994,0.08673062,0.09004697,0.09717855,0.102209434,0.10934701,0.10882113,0.117804326,0.119795024,0.12466783,0.12603042,0.12382272,0.12960593,0.13175811,0.1341243,0.13706395,0.13944285
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|SO2|Power generation,Mt SO2/yr,51.02974,49.65001,47.891773,46.921986,46.464596,45.45567,46.994976,47.165646,46.63621,44.615234,44.53283,46.20186,46.772465,46.788094,47.22367,45.237885,44.518543,43.76214,44.349392,42.884537,39.858097,40.516373,39.573822,38.77105,38.192036,37.535595
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|BC|Fugitives,Mt BC/yr,0.03272429,0.032716427,0.032631766,0.032905232,0.032868873,0.03301794,0.032993145,0.032967065,0.03292234,0.032952767,0.0329233,0.033023506,0.033051558,0.033050377,0.033105284,0.0330821,0.03301624,0.03298405,0.033019308,0.0330295,0.03314026,0.03307716,0.033110093,0.0331474,0.033279236,0.033232298
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CH4|Fugitives,Mt CH4/yr,0.15101077,0.15059817,0.15059817,0.15059817,0.15101077,0.15059817,0.15059817,0.15059817,0.15101077,0.15059817,0.15059817,0.15059817,0.15101077,0.15059817,0.15059817,0.15059817,0.15101077,0.15059817,0.15059817,0.15105532,0.15192933,0.15197499,0.15243751,0.15290186,0.15378825,0.15383606
CAMS-GLOB-ANT-v6.2,historical,World,Emissions|CO|Fugitives,Mt CO/yr,3.550227,3.514768,3.457036,3.5924368,3.5235593,3.5716689,3.5112505,3.4671702,3.4237256,3.4345915,3.3626559,3.3760455,3.3993335,3.3850927,3.4133024,3.423288,3.435989,3.3899922,3.4065394,3.4009662,3.4159017,3.4122486,3.418007,3.4238453,3.4391599,3.4357622
