year,LUH2-GCB2024,LUH2-CMIP6,LUH1-CMIP5
1967,-0.11506523210347505,-0.1261671705632972,-0.12683509121158673
1968,-0.11704115496201574,-0.1266753061346481,-0.127103014721729
1969,-0.11848680811680877,-0.12718346082140014,-0.12737092619092233
1970,-0.11928048017486663,-0.12750377196705617,-0.12753566634831648
1971,-0.11954659014541846,-0.1276361418656103,-0.12759730095092933
1972,-0.11957499069281112,-0.12776851811604978,-0.12765892025029382
1973,-0.12010372864876755,-0.1279009031176727,-0.12772054182405676
1974,-0.12054585457983998,-0.12803331236352217,-0.12778217234259845
1975,-0.12060990026308134,-0.12816571016750394,-0.1278437936711148
1976,-0.12067721152454851,-0.12829810338660205,-0.12790540487199795
1977,-0.12141227556538566,-0.1284304991928575,-0.1279670272143926
1978,-0.12240773291993766,-0.1285628509286741,-0.1280286497434657
1979,-0.12264648894207784,-0.12869524142898664,-0.12809027665646808
1980,-0.12297339463786666,-0.12896768877584028,-0.12823363073011632
1981,-0.12343620289872838,-0.1293801600491771,-0.12845868821378467
1982,-0.12372856434324052,-0.12979259171546106,-0.12868374592832596
1983,-0.12427063766185478,-0.13020503435619624,-0.12890880969530066
1984,-0.1246775233620317,-0.13061749193574393,-0.1291339015557412
1985,-0.124839147994582,-0.13102993905019378,-0.1293589854247412
1986,-0.12493038858921085,-0.1314423615327001,-0.12958405583665783
1987,-0.125104890171729,-0.13185480253527693,-0.1298091137952468
1988,-0.12526976709236556,-0.13226728866132845,-0.13003416554465375
1989,-0.1250377381630672,-0.13267975087152098,-0.13025923133223197
1990,-0.12473824925333146,-0.1326167477841604,-0.1303744375238524
1991,-0.12397902911036612,-0.13207830665074816,-0.13037976886386346
1992,-0.1229461386472418,-0.13153988827326346,-0.13038508509778315
1993,-0.12250238847331725,-0.13100143425709193,-0.13039044013575823
1994,-0.122032663316998,-0.13046300390825535,-0.130395779449982
1995,-0.12134861178199116,-0.1299245769396935,-0.13040108383148485
1996,-0.12114719067852757,-0.12938613707138297,-0.1304064246797759
1997,-0.12129724473293482,-0.12884768025511298,-0.13041176142956953
1998,-0.1212809425516093,-0.1283092472362989,-0.13041708663589177
1999,-0.12137899110982996,-0.12777085059076812,-0.13042241673013463
2000,-0.12138484405944819,-0.1271743671987412,-0.13025361250083822
2001,-0.12061254586955862,-0.12606422277763604,-0.12991062793953928
2002,-0.11930761094342757,-0.12450978000138574,-0.12956767197395425
2003,-0.11826165619936195,-0.12332238178131663,-0.12922471342622716
2004,-0.1178132832273026,-0.12114431317016439,-0.12888173794419525
2005,-0.11741988454848248,-0.11866546234461571,
2006,-0.11636628025706863,-0.11740064407972761,
2007,-0.11526388350179306,-0.11699302216706106,
2008,-0.11462887882732961,-0.11690420974520838,
2009,-0.11399858449489114,-0.11499986292393893,
2010,-0.11311441345731346,-0.11308147045518228,
2011,-0.11200430864720355,-0.11340475830883243,
2012,-0.1111765005143862,-0.1124656564866918,
2013,-0.1112549527731339,-0.1114802120347447,
2014,-0.11121841932593202,-0.11115642285961565,
2015,-0.11085525677394462,,
2016,-0.11089172872200577,,
2017,-0.11083131039205739,,
2018,-0.11063647563110021,,
2019,-0.11045636603835493,,
2020,-0.11044472452509849,,
2021,-0.11057990443724357,,
2022,-0.11062907967382463,,
2023,-0.11065302785847148,,
