year,cmip5-hist,rcp26,rcp45,rcp60,rcp85,cmip6-hist,cmip6-hist-low,cmip6-hist-high,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534,ssp585,gcb-2024,gcb-2025,cmip7-hist,scen7-h,scen7-vl
1943,-0.115818545,,,,,-0.11695535,-0.11805465,-0.115973644,,,,,,,,,-0.110968105,-0.111072026,-0.110968135,,
1944,-0.11596193,,,,,-0.11681074,-0.11799259,-0.115750566,,,,,,,,,-0.11037224,-0.11044687,-0.110372245,,
1945,-0.116105415,,,,,-0.11666609,-0.11793097,-0.11552692,,,,,,,,,-0.10977637,-0.10982182,-0.10977633,,
1946,-0.116248645,,,,,-0.116521776,-0.11786903,-0.11530392,,,,,,,,,-0.10918027,-0.109196626,-0.10918024,,
1947,-0.11639174,,,,,-0.11637674,-0.11780726,-0.11508058,,,,,,,,,-0.10858458,-0.10857155,-0.10858461,,
1948,-0.11653506,,,,,-0.116232045,-0.117745236,-0.11485726,,,,,,,,,-0.107988514,-0.10794613,-0.10798861,,
1949,-0.11667865,,,,,-0.11608719,-0.11768369,-0.114633925,,,,,,,,,-0.10739254,-0.10732111,-0.10739252,,
1950,-0.1171538,,,,,-0.11633147,-0.11798747,-0.11481843,,,,,,,,,-0.10749235,-0.10744453,-0.10737522,,
1951,-0.1179611,,,,,-0.11696565,-0.11865737,-0.11540959,,,,,,,,,-0.108387545,-0.10838558,-0.10793591,,
1952,-0.11876844,,,,,-0.11759946,-0.119327255,-0.116000496,,,,,,,,,-0.10926422,-0.10927652,-0.10849671,,
1953,-0.119576044,,,,,-0.118232965,-0.11999719,-0.116592504,,,,,,,,,-0.11001173,-0.11003936,-0.1090571,,
1954,-0.120383285,,,,,-0.11886699,-0.12066719,-0.11718406,,,,,,,,,-0.11084653,-0.11089797,-0.10961789,,
1955,-0.12119095,,,,,-0.11950079,-0.12133725,-0.11777543,,,,,,,,,-0.111719124,-0.11181696,-0.1101789,,
1956,-0.12199792,,,,,-0.12013474,-0.12200706,-0.11836705,,,,,,,,,-0.11244802,-0.112611115,-0.11073969,,
1957,-0.12280553,,,,,-0.1207687,-0.1226773,-0.11895877,,,,,,,,,-0.113078326,-0.11331708,-0.11130039,,
1958,-0.123612665,,,,,-0.121402554,-0.12334698,-0.119550265,,,,,,,,,-0.11323424,-0.113573685,-0.11186107,,
1959,-0.12442074,,,,,-0.12203646,-0.12401687,-0.120141536,,,,,,,,,-0.11289229,-0.11362227,-0.112422004,,
1960,-0.12495787,,,,,-0.12260732,-0.12462597,-0.120669566,,,,,,,,,-0.11266844,-0.11378063,-0.11301223,,
1961,-0.12522584,,,,,-0.12311575,-0.1251739,-0.12113329,,,,,,,,,-0.11268684,-0.11384719,-0.113632135,,
1962,-0.1254936,,,,,-0.12362392,-0.12572195,-0.121597014,,,,,,,,,-0.113155566,-0.114319116,-0.11425202,,
1963,-0.1257617,,,,,-0.12413202,-0.12626968,-0.12206069,,,,,,,,,-0.113673076,-0.11485875,-0.11487169,,
1964,-0.12602969,,,,,-0.1246399,-0.12681797,-0.12252437,,,,,,,,,-0.113877065,-0.11508428,-0.11549154,,
1965,-0.12629737,,,,,-0.1251481,-0.12736577,-0.12298836,,,,,,,,,-0.11413377,-0.115328975,-0.116111256,,
1966,-0.12656541,,,,,-0.1256565,-0.12791322,-0.12345177,,,,,,,,,-0.11420242,-0.115380116,-0.11673143,,
1967,-0.12683316,,,,,-0.12616448,-0.12846139,-0.123915896,,,,,,,,,-0.11506285,-0.116242744,-0.11735111,,
1968,-0.12710094,,,,,-0.12667271,-0.12900965,-0.124379665,,,,,,,,,-0.11703872,-0.11823963,-0.117970526,,
1969,-0.12736884,,,,,-0.1271807,-0.12955713,-0.12484311,,,,,,,,,-0.11848442,-0.11970991,-0.11859045,,
1970,-0.12753405,,,,,-0.12750058,-0.1299285,-0.1251089,,,,,,,,,-0.11927803,-0.1205081,-0.11908348,,
1971,-0.12759554,,,,,-0.12763306,-0.13012372,-0.12517768,,,,,,,,,-0.11954433,-0.120782614,-0.119450405,,
1972,-0.12765738,,,,,-0.12776563,-0.13031861,-0.12524569,,,,,,,,,-0.11957245,-0.12082918,-0.11981664,,
1973,-0.12771884,,,,,-0.1278982,-0.1305136,-0.12531379,,,,,,,,,-0.12010117,-0.12136417,-0.120183215,,
1974,-0.12778011,,,,,-0.12803078,-0.13070858,-0.12538165,,,,,,,,,-0.12054351,-0.12180508,-0.120550066,,
1975,-0.12784179,,,,,-0.12816335,-0.1309036,-0.12544982,,,,,,,,,-0.12060714,-0.12187883,-0.12091625,,
1976,-0.12790339,,,,,-0.12829572,-0.13109848,-0.12551801,,,,,,,,,-0.12067475,-0.12195822,-0.12128312,,
1977,-0.12796488,,,,,-0.12842801,-0.13129382,-0.12558617,,,,,,,,,-0.121410005,-0.1227059,-0.1216497,,
