year,gcb-2025_rescaled,irrigation,total
1995,-0.15236514133092532,-0.038801246,-0.19116638733092534
1996,-0.15210691020077843,-0.039425583,-0.19153249320077842
1997,-0.15230264433043944,-0.039845329,-0.19214797333043943
1998,-0.15235682405164375,-0.04027482,-0.19263164405164374
1999,-0.15257919077692408,-0.040698754,-0.1932779447769241
2000,-0.1525917223091552,-0.04124466,-0.19383638230915518
2001,-0.1515720090390164,-0.041960207,-0.1935322160390164
2002,-0.1502806432935602,-0.042750552,-0.1930311952935602
2003,-0.1496967282690481,-0.043562352,-0.1932590802690481
2004,-0.1498148583518728,-0.04399098,-0.19380583835187282
2005,-0.15,-0.044328604,-0.194328604
2006,-0.14763016243411622,-0.044645451,-0.19227561343411623
2007,-0.14512022876431552,-0.04500011,-0.19012033876431553
2008,-0.14486740942703255,-0.045261435,-0.19012884442703254
2009,-0.14467374658415846,-0.045673371,-0.19034711758415845
2010,-0.14416432867630233,-0.046175723,-0.19034005167630233
2011,-0.1422130801266253,-0.046638091,-0.1888511711266253
2012,-0.14034020926670143,-0.047219841,-0.18756005026670142
2013,-0.14032507750332493,-0.047695311,-0.18802038850332492
2014,-0.14020603906979118,-0.04802544,-0.18823147906979118
2015,-0.1397709761556909,-0.048414367,-0.1881853431556909
2016,-0.13991851208446301,-0.048690667,-0.188609179084463
2017,-0.13996736528654344,-0.048995987,-0.18896335228654343
2018,-0.1398196192630495,-0.049217109,-0.1890367282630495
2019,-0.1397417606308444,-0.05,-0.1897417606308444
2020,-0.13972791415282493,-0.050549341,-0.19027725515282493
2021,-0.13985599531035622,-0.050623851,-0.19047984631035622
2022,-0.13995431469676428,-0.050749437,-0.1907037516967643
2023,-0.14003345861432642,-0.051312817733333294,-0.19134627634765972
2024,-0.1401648543250573,-0.05167948441212111,-0.1918443387371784
2025,-0.1401648543250573,-0.05204615109090904,-0.19221100541596634
2026,,,
2027,,,
2028,,,
2029,,,
2030,,,
2031,,,
2032,,,
2033,,,
2034,,,
2035,,,
2036,,,
2037,,,
2038,,,
2039,,,
2040,,,
2041,,,
2042,,,
2043,,,
2044,,,
2045,,,
2046,,,
2047,,,
2048,,,
2049,,,
2050,,,
2051,,,
2052,,,
2053,,,
2054,,,
2055,,,
2056,,,
2057,,,
2058,,,
2059,,,
2060,,,
2061,,,
2062,,,
2063,,,
2064,,,
2065,,,
2066,,,
2067,,,
2068,,,
2069,,,
2070,,,
2071,,,
2072,,,
2073,,,
2074,,,
2075,,,
2076,,,
2077,,,
2078,,,
2079,,,
2080,,,
2081,,,
2082,,,
2083,,,
2084,,,
2085,,,
2086,,,
2087,,,
2088,,,
2089,,,
2090,,,
2091,,,
2092,,,
2093,,,
2094,,,
2095,,,
2096,,,
2097,,,
2098,,,
2099,,,
